N,P,K,temperature,humidity,ph,rainfall,label
81,34,136,26.69536500409154,77.90550473839461,4.945832752853591,164.99623737270042,tea
129,43,32,15.102922471479012,89.09729556485983,6.2486639612006325,60.61695553391381,potato
62,95,87,27.871346474483566,72.95835055926347,6.582458280396084,130.59264473611898,sugarcane
121,79,109,15.560484744733348,62.718193035984626,6.618386009333087,49.12309956335814,onion
93,22,130,26.467903667112946,65.11572371061875,5.695154778955839,116.42198760773333,cotton
38,72,31,20.263495397682355,73.20457481218804,6.183057352267168,74.75884550556351,wheat
107,55,79,23.962700559185837,69.35133228268234,6.424081625413373,87.33551396716399,maize
122,82,47,21.976195410250032,88.18496824692568,6.4474136752138245,209.78999788110852,coffee
107,81,69,19.222669243390758,82.41960330412142,5.80953819858362,79.33755828319241,potato
89,60,58,25.219772826786357,62.23651931039313,6.789509549280414,106.33468615779944,tomato
117,82,40,15.994212020444026,81.3402585824595,6.185263310796809,80.29799873905057,potato
132,60,57,22.49413768463153,78.69894380482674,6.330898024852649,33.177917514301186,onion
91,56,128,23.869466815615908,68.24165378970193,5.061243425847701,207.43903121306846,tea
30,24,119,20.1238642777406,67.68204968283972,5.848520307446117,95.53314448428937,maize
71,96,80,13.345721042554077,79.09231233791341,6.314355981076327,55.42853455823514,onion
52,34,72,23.045918371021543,88.28560711673943,7.197730932977072,134.73924665198524,sugarcane
71,64,91,19.501056347656352,86.14381770563153,7.205508115348672,59.32850294430179,wheat
121,81,126,15.993454743230988,79.43070361624086,6.000520376995316,47.62844281670845,onion
132,89,101,22.80680477437898,74.5448991407695,6.630923239468324,73.47061668992608,maize
108,78,147,16.09382109786535,76.74306006052024,5.605754256587061,53.24461235544908,potato
81,31,68,18.469733564816238,69.02634929450309,6.284840494377468,31.84434736772664,onion
31,21,121,22.514787512499893,68.35939392709834,7.270664714916634,185.93428360004586,rice
82,63,119,24.78475681165901,67.26165814534501,7.008203321108818,88.08098076643589,wheat
67,43,98,28.323058305935795,79.00589132282684,6.339436710186896,163.54346550816123,rice
102,78,99,28.958128067908817,85.75076414441159,5.8148972630047115,183.03615713483225,rice
96,38,49,20.096900694503947,65.23099287014975,6.690937738102466,49.33676731502687,onion
133,20,40,15.115995265753877,63.40420563721767,7.387040427417844,93.86696766904905,wheat
36,35,119,26.83951508996492,75.49907673813043,6.1129950097964905,109.81268498789622,maize
66,51,148,25.08544686573051,70.47628723837983,7.451911357740479,144.85551299762886,sugarcane
83,52,53,19.254642243837566,88.06904982662843,6.178010976670915,83.44941273571143,potato
118,44,122,20.55528877263719,69.1609158103318,6.382736504303471,82.42120714931237,maize
129,52,97,20.1352417874712,69.76199094477803,6.597193124094419,98.97797394283288,tomato
96,36,62,23.138103458323492,75.2644223051628,5.136332618185896,187.56927279083763,tea
131,70,83,23.154889089466984,73.03183096531286,6.175039203847338,214.51033620305648,coffee
